nom,prix,adresse,image
Pigeons,40000.0,"Mbour, Sénégal",https://images.coinafrique.com/2944254_uploaded_image2_1612982200.jpeg
Poussin brahmâ hermine,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/2949738_uploaded_image2_1613229442.jpeg
Poussin brahmâ blanc hermine,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/2950013_uploaded_image1_1613239360.jpg
Poussins fermiers,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/2950193_uploaded_image2_1613251192.jpeg
Lapins,15000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/2970567_uploaded_image1_1614250380.jpg
Poussin  - 1  jour,78813.69885433716,"Dakar, Sénégal",https://images.coinafrique.com/2974676_uploaded_image2_1614452429.jpeg
Poulet,2500.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/2976666_uploaded_image2_1614589004.jpeg
Lapereaux Angora,15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/2981287_uploaded_image1_1614727616.jpg
Perruches ondulées,78813.69885433716,"Point E, Dakar, Sénégal",https://images.coinafrique.com/2996669_uploaded_image2_1615474536.jpeg
Poules Brahma,78813.69885433716,"Dakar, Sénégal",https://images.coinafrique.com/3000249_uploaded_image2_1615655282.jpeg
Poulet pondeuse,3500.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/3000537_uploaded_image2_1615668904.jpeg
Jeune king,50000.0,"Mbour, Sénégal",https://images.coinafrique.com/3005849_uploaded_image2_1615939888.jpeg
Chateau,50000.0,"Mbour, Sénégal",https://images.coinafrique.com/3005856_uploaded_image2_1615940349.jpeg
Poules bleus hollandais,6500.0,"Saint Louis, Sénégal",https://images.coinafrique.com/3009280_uploaded_image2_1616101334.jpeg
Pigeon voyageur,5000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/3011311_uploaded_image3_1616223766.jpeg
Poulet de chair,3000.0,"Touba, Sénégal",https://images.coinafrique.com/3017104_uploaded_image1_1616512963.jpg
Poulet de chair,3000.0,"Touba, Sénégal",https://images.coinafrique.com/3020570_uploaded_image2_1616677661.jpeg
Cochin blanche,65000.0,"Dakar, Sénégal",https://images.coinafrique.com/3025104_uploaded_image1_1616923906.jpg
Pigeon,25000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/3033406_uploaded_image1_1617293184.jpg
Pigeon,150000.0,"Rufisque, Sénégal",https://images.coinafrique.com/3049719_uploaded_image2_1617978715.jpeg
Lapin Angora,78813.69885433716,"Dakar, Sénégal",https://images.coinafrique.com/3055838_uploaded_image2_1618276360.jpeg
Pigeon,60000.0,"Mbour, Sénégal",https://images.coinafrique.com/3076664_uploaded_image1_1619200352.jpg
Poulet de chair,2500.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/3082778_uploaded_image1_1619528177.jpg
