nom,prix,image,adresse
Bichon Maltais,230000.0,https://images.coinafrique.com/2598132_uploaded_image1_1599146353.jpg,"Dakar, Sénégal"
Chiots race Bichon,200000.0,https://images.coinafrique.com/thumb_2601423_uploaded_image1_1599252254.jpg,"Dieuppeul-Derklé, Dakar, Sénégal"
Chiots Bichon,200.0,https://images.coinafrique.com/2603096_uploaded_image2_1599317064.jpeg,"Dakar, Sénégal"
Chiot Rottweiller,250000.0,https://images.coinafrique.com/2603171_uploaded_image1_1599318422.jpg,"Hann Bel-Air, Dakar, Sénégal"
Chiots Bichon,200000.0,https://images.coinafrique.com/2603812_uploaded_image1_1599338756.jpg,"Dieuppeul-Derklé, Dakar, Sénégal"
Husky pure race,450000.0,https://images.coinafrique.com/2614016_uploaded_image2_1599672234.jpeg,"Dakar Plateau, Dakar, Sénégal"
Bichon maltais,171998628018409.84,https://images.coinafrique.com/2614957_uploaded_image1_1599699735.jpg,"Dieuppeul-Derklé, Dakar, Sénégal"
Chien rottweiller,300000.0,https://images.coinafrique.com/2617202_uploaded_image2_1599768248.jpeg,"Hann Bel-Air, Dakar, Sénégal"
Chiot Berger Allemand,2500000.0,https://images.coinafrique.com/2618543_uploaded_image2_1599827606.jpeg,"Mbour, Sénégal"
Chiot rottweiller,250000.0,https://images.coinafrique.com/2619263_uploaded_image2_1599843271.jpeg,"Hann Bel-Air, Dakar, Sénégal"
Chiots Rottweiler pur sang,300000.0,https://images.coinafrique.com/2625896_uploaded_image1_1600107671.jpg,"Dakar Plateau, Dakar, Sénégal"
Caniche Bichon Maltais,465000.0,https://images.coinafrique.com/2629161_uploaded_image1_1600223864.jpg,"Dakar, Sénégal"
Chiens,20000.0,https://images.coinafrique.com/2631397_uploaded_image1_1600290558.jpg,"Mbour, Sénégal"
Chien Red Nose pur sang,90000.0,https://images.coinafrique.com/2636139_uploaded_image2_1600454579.jpeg,"Thies, Sénégal"
Chiots Chowchow,171998628018409.84,https://images.coinafrique.com/2636642_uploaded_image1_1600483273.jpg,"Fann, Dakar, Sénégal"
Chiots Carlin,171998628018409.84,https://images.coinafrique.com/2636645_uploaded_image1_1600483676.jpg,"Fann, Dakar, Sénégal"
Chiot Husky sibérien,171998628018409.84,https://images.coinafrique.com/2647792_uploaded_image1_1600900758.jpg,"Fann, Dakar, Sénégal"
Chiot pitbull,150000.0,https://images.coinafrique.com/2678151_uploaded_image1_1602079553.jpg,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chien malinois,180000.0,https://images.coinafrique.com/2683719_uploaded_image2_1602268171.jpeg,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chiot bulldog françai,171998628018409.84,https://images.coinafrique.com/2696757_uploaded_image1_1602765163.jpg,"Fann, Dakar, Sénégal"
Caniche pur sang,250000.0,https://images.coinafrique.com/2699954_uploaded_image1_1602880167.jpg,"Saly, Sénégal"
Chien Husky sibérien,171998628018409.84,https://images.coinafrique.com/2706061_uploaded_image1_1603146923.jpg,"Dakar, Sénégal"
Chien berger allemand,250000.0,https://images.coinafrique.com/2727458_uploaded_image1_1604087756.jpg,"Guediawaye, Dakar, Sénégal"
Chiots Bergers allemands,80000.0,https://images.coinafrique.com/2728385_uploaded_image2_1604155752.jpeg,"Rufisque, Sénégal"
Couple chiots husky sibérien pure race,171998628018409.84,https://images.coinafrique.com/2733234_uploaded_image2_1604353698.jpeg,"Mbao, Dakar, Sénégal"
Pitbulls,171998628018409.84,https://images.coinafrique.com/2748068_uploaded_image1_1604872397.jpg,"Bargny, Sénégal"
Chiot dog allemand,500000.0,https://images.coinafrique.com/2751446_uploaded_image1_1605004718.jpg,"Mamelles, Dakar, Sénégal"
Chiots Bergers allemands pur sang - lignée de travail,250000.0,https://images.coinafrique.com/2762158_uploaded_image2_1605372614.jpeg,"Sicap Liberté, Dakar, Sénégal"
Chiots,171998628018409.84,https://images.coinafrique.com/2766184_uploaded_image1_1605541335.jpg,"Dakar, Sénégal"
Chiots Pitbull,160000.0,https://images.coinafrique.com/2784073_uploaded_image2_1606221524.jpeg,"Thies, Sénégal"
Chiots berger allemand,200000.0,https://images.coinafrique.com/2784090_uploaded_image1_1606222014.jpg,"Thies, Sénégal"
Chiots pitbull,175000.0,https://images.coinafrique.com/2795342_uploaded_image1_1606666617.jpg,"Saint Louis, Sénégal"
Chien malinois,171998628018409.84,https://images.coinafrique.com/2795793_uploaded_image2_1606686237.jpeg,"Dakar, Sénégal"
Rott royal 10,500000.0,https://images.coinafrique.com/2812803_uploaded_image1_1607261227.jpg,"Dakar, Sénégal"
Bichamon Maltais,250000.0,https://images.coinafrique.com/2823458_uploaded_image1_1607635304.jpg,"Dakar, Sénégal"
Berger allemand,150000.0,https://images.coinafrique.com/2835075_uploaded_image1_1608132327.jpg,"Almadies, Dakar, Sénégal"
Chiot berger allemand / Rottweiller,75000.0,https://images.coinafrique.com/2861530_uploaded_image2_1609419910.jpeg,"Thies, Sénégal"
Chiot mâle Berger allemand,100000.0,https://images.coinafrique.com/2862580_uploaded_image1_1609508293.jpg,"Thies, Sénégal"
Berger allemand,350000.0,https://images.coinafrique.com/2863494_uploaded_image1_1609574943.jpg,"Dakar, Sénégal"
Chiot berger allemand,180000.0,https://images.coinafrique.com/2864271_uploaded_image1_1609597460.jpg,"Guediawaye, Dakar, Sénégal"
Chiots Labrador,200000.0,https://images.coinafrique.com/2877490_uploaded_image1_1610106988.jpg,"Dakar, Sénégal"
Chiot Bichon,1.11111111111111e+17,https://images.coinafrique.com/2877719_uploaded_image1_1610113033.jpg,"Ouakam, Dakar, Sénégal"
Chiot rottweiller,171998628018409.84,https://images.coinafrique.com/2882667_uploaded_image2_1610353610.jpeg,"Grand Dakar, Dakar, Sénégal"
Chiots Bichons Spitz Royal,200000.0,https://images.coinafrique.com/2890179_uploaded_image1_1610628933.jpg,"Saly, Sénégal"
Chiot pitbull,175000.0,https://images.coinafrique.com/2896747_uploaded_image1_1610923096.jpg,"Saint Louis, Sénégal"
Chien Pitbull,400000.0,https://images.coinafrique.com/2898017_uploaded_image1_1610984631.jpg,"Hann Bel-Air, Dakar, Sénégal"
Caniches,100000.0,https://images.coinafrique.com/thumb_2913795_uploaded_image1_1611695195.jpg,"Dakar, Sénégal"
Chiot Rottweiler,250000.0,https://images.coinafrique.com/2920881_uploaded_image1_1612027893.jpg,"Dakar, Sénégal"
Chiot Husky,450000.0,https://images.coinafrique.com/2922194_uploaded_image1_1612118204.jpg,"Dakar, Sénégal"
Chiot husky,450000.0,https://images.coinafrique.com/2922209_uploaded_image1_1612118775.jpg,"Dakar, Sénégal"
Chiots Berger Allemand,165000.0,https://images.coinafrique.com/2923824_uploaded_image1_1612185318.jpg,"Dakar, Sénégal"
